央视台,#genre#
CCTV-1综合,http://118.81.53.140:9999/tsfile/live/0001_1.m3u8
CCTV-2财经,http://123.10.70.33:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024068503.m3u8
CCTV-4中文国际,http://171.117.43.18:9999/tsfile/live/0004_1.m3u8
CCTV-5体育,http://171.117.43.18:9999/tsfile/live/0005_1.m3u8
CCTV-5+体育赛事,http://119.164.94.125:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://171.117.43.18:9999/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://171.117.43.18:9999/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078503.m3u8
CCTV-9纪录,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078603.m3u8
CCTV-10科教,http://171.117.43.18:9999/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://119.164.94.125:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024078903.m3u8
CCTV-13新闻,http://221.225.236.123:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://171.117.43.18:9999/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://36.44.152.186:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://123.189.36.103:9901/tsfile/live/1027_1.m3u8
CCTV-17农业农村,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024079503.m3u8
CCTV-4K超高清,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024081303.m3u8
CCTV-164K,http://123.189.36.155:9901/tsfile/live/1027_1.m3u8

卫视台,#genre#
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8
东方卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024054503.m3u8
天津卫视,http://119.164.94.125:9901/tsfile/live/0135_1.m3u8
重庆卫视,http://124.128.73.58:9901/tsfile/live/0142_1.m3u8
黑龙江卫视,http://171.117.43.18:9999/tsfile/live/0143_1.m3u8
吉林卫视,http://124.94.193.136:9902/tsfile/live/0116_1.m3u8
辽宁卫视,http://171.117.43.18:9999/tsfile/live/0121_1.m3u8
内蒙古卫视,http://123.189.36.155:9901/tsfile/live/1058_1.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
甘肃卫视,http://124.94.193.136:9902/tsfile/live/0141_1.m3u8
青海卫视,http://124.128.73.58:9901/tsfile/live/0140_1.m3u8
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8
河北卫视,http://119.164.94.125:9901/tsfile/live/0117_1.m3u8
山西卫视,http://171.117.43.18:9999/tsfile/live/0118_1.m3u8
山东卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171603.m3u8
安徽卫视,http://36.44.152.186:9901/tsfile/live/0143_1.m3u8
河南卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024059703.m3u8
湖北卫视,http://124.94.193.136:9902/tsfile/live/0132_1.m3u8
湖南卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024054803.m3u8
江西卫视,http://123.189.36.155:9901/tsfile/live/1048_1.m3u8
江苏卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171103.m3u8
浙江卫视,http://119.164.94.125:9901/tsfile/live/0124_1.m3u8
东南卫视,http://124.128.73.58:9901/tsfile/live/0137_1.m3u8
厦门卫视,http://124.94.193.136:9902/tsfile/live/0129_1.m3u8
广东卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024060903.m3u8
深圳卫视,http://123.10.70.33:9901/tsfile/live/0126_1.m3u8
广西卫视,https://mobilelive.gxtv.cn/live/nn_live1004/playlist.m3u8
云南卫视,http://123.189.36.103:9901/tsfile/live/1055_1.m3u8
贵州卫视,http://124.94.193.136:9902/tsfile/live/0120_1.m3u8
四川卫视,http://124.94.193.136:9902/tsfile/live/0123_1.m3u8
新疆卫视,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=65eac067c58da8084fe60bdc0a7e9361&time=66b719d1
海南卫视,http://123.189.36.155:9901/tsfile/live/1064_1.m3u8
三沙卫视,https://live2.hnntv.cn/srs/tv/ssws.m3u8?_upt=413d10c71723279006

数字电视,#genre#
CCTV央视文化精品频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172303.m3u8
CCTV怀旧剧场频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
CCTV风云音乐频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024163303.m3u8
CCTV风云剧场频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171703.m3u8
CCTV高尔夫网球频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024166203.m3u8
CCTV央视台球频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172403.m3u8
CCTV女性时尚频道,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

教育,#genre#
CETV1中国教育电视台一套,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
