General,#genre#
1+1_(1080p),https://ythls.armelin.one/channel/UCVEaAWKfv7fE1c-ZuBs7TKQ.m3u8
1Almere_TV_(720p),https://d3472rjicrodic.cloudfront.net/nlpo/clr-nlpo/709d5260/index.m3u8
1TV_(720p),https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8
1Twente_TV_(1080p),https://ms2.mx-cd.net/dtv-10/198-989148/1Twente_TV.smil/playlist.m3u8
002_Radio_TV_(720p),https://cdn.002radio.com:3909/live/radio002live.m3u8
2M_Monde_(360p),https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/2m_monde/hls_video_ts_tuhawxpiemz257adfc/2m_monde.m3u8
2TV_(720p),https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8
3sat_(720p),https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/high/master.m3u8
3_Stones_TV_(240p)_[Not_24/7],https://goliveafrica.media:9998/live/64d21e682fd26/index.m3u8
5TV_Corrientes_(480p)_[Not_24/7],http://www.coninfo.net:1935/tvcinco/live1/playlist.m3u8
5_канал,http://s18209.cdn.ngenix.net/hls/CH_R02_5TV/playlist.m3u8
6_ТВ_Горловка,http://91.237.3.3:4022/udp/224.2.2.4:10000
7ALimoges_(1080p)_[Not_24/7],https://ythls.armelin.one/channel/UCdFv_ZWQ3Xk_NfRiaK-ryGg.m3u8
7D7_(1080p),https://d7tv.pp.ua/hls/d7tv.m3u8
7_TeleValencia_(576p),https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8
8_La_Marina_TV_(576p),https://streaming005.gestec-video.com/hls/canal24.m3u8
8NTV_(1080p),https://60417ddeaf0d9.streamlock.net/ntv/videontv/playlist.m3u8
8TV_(1080p),http://89.254.128.5:22280/8tv_hd/index.m3u8
9_la_Loma_TV_(1080p),https://9laloma.tv/live.m3u8
10_Peach_(720p),https://i.mjh.nz/10peach-nsw.m3u8
12_TV_Parma_(540p)_[Not_24/7],https://5929b138b139d.streamlock.net/12TVParma/livestream/playlist.m3u8
12_Visión_Encarnación_(1080p)_[Not_24/7],https://stream.oursnetworktv.com/latin/encoder87b/playlist.m3u8
13C_(1080p),https://origin.dpsgo.com/ssai/event/GI-9cp_bT8KcerLpZwkuhw/master.m3u8
13Max_Televisión_(1080p),http://coninfo.net:1935/13maxhd/live13maxtvnuevo/playlist.m3u8
16tv_Budapest_(360p),https://cloudfront44.lexanetwork.com:1344/freerelay/16tv.sdp/playlist.m3u8
20_Minutes_TV,https://lives.digiteka.com/stream/86d3e867-a272-496b-8412-f59aa0104771/index.m3u8
28_kanala_(720p)_[Not_24/7],https://5940924978228.streamlock.net/8157/8157/master.m3u8
54_Unity_TV_(576p),http://183.89.246.119:8881/play/a0a8/index.m3u8
101tv_Antequera_(1080p),https://streaming101tv.es/hls/webantequera.m3u8
101tv_Axarquía_(1080p),https://streaming101tv.es/hls/webaxarquia.m3u8
101tv_Cádiz_(1080p),https://streaming101tv.es/hls/webcadiz.m3u8
101tv_Ronda_(1080p),https://streaming101tv.es/hls/webronda.m3u8
101tv_Sevilla_(1080p),https://streaming101tv.es/hls/websevilla.m3u8
111_TV_(720p),https://5db313b643fd8.streamlock.net/111TV/111TV/playlist.m3u8
360°,https://live-vgtrksmotrim.cdnvideo.ru/vgtrksmotrim/smotrim-live-04-srt.smil/playlist.m3u8
#КТОКУДА,http://camera.global-x.ru/MirUvlecheniy/index.m3u8
A1_TV_(1080p)_[Not_24/7],https://stream.a1mediagroep.nl/hls/a1tv.m3u8
A2i_TV_(1080p),https://stream.sen-gt.com/A2itv/myStream/playlist.m3u8
A7TV_(1080p)_[Not_24/7],https://ythls.armelin.one/channel/UCWZxOfINa92_vDXXsHZygKA.m3u8
A12_TV_(720p),https://video1.getstreamhosting.com:1936/8420/8420/playlist.m3u8
A_Nove_TV_(1080p)_[Not_24/7],https://ythls.armelin.one/channel/UC9dfpRzwL7gyukOK0UtnYyQ.m3u8
À_Punt_(720p),https://bcovlive-a.akamaihd.net/1e7e91116b104391a4f22e13a694d94f/eu-central-1/6057955885001/playlist_dvr.m3u8
A+_Guate_(720p),https://ch2-tva.duin.dev/hls/stream.m3u8
AAVISIE_(720p),https://d1wgur45ikj8gz.cloudfront.net/nlpo/clr-nlpo/aavisietv/index.m3u8
