Undefined,#genre#
Ando_TV_(1080p),http://play.kankanlive.com/live/1711956137852982.m3u8
Anshun_Comprehensive_News_Channel,https://hplayer1.juyun.tv/camera/154379194.m3u8
Beijing_Traffic_Radio_TV,http://123.56.24.28:1935/live/fm1039/96K/tzwj_video.m3u8
Beijing_Youth_Radio,http://audiolive.rbc.cn:1935/live/am927/96K/tzwj_video.m3u8
Bread_TV面包台_(720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
BRTV_Kaku_Childrens_Channel,http://223.111.191.105/downflv.brtvcloud.com/kkkkasd/winfr.m3u8
BRTV_北京卫视_(1080p),http://go.bkpcp.top/mg/bjws
CCTV-1_(1080p),http://69.30.245.50/live/cctv1.m3u8
CCTV-2_(720p),http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3_(720p),http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4_Asia_(720p),http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4K_(1080p),http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-6_(1080p),http://69.30.245.50/live/cctv6.m3u8
CCTV-7_(720p),http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8_(720p),http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8K_(1080p),http://192.151.150.154/live/cctv8k.m3u8
CCTV-9_(576i),https://xykt-fix.github.io/Y77.m3u8
CCTV-10_(720p),http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-11_(720p),http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-12_(720p),http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13_(1080p),http://go.bkpcp.top/mg/cctv13
CCTV-14_(1080p),http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15_(1080p),https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16_(1080p),http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17_(1080p),http://74.91.26.218:82/live/cctv17hd.m3u8
CETV1_(576p),http://117.161.133.51:81/gitv_live/G_CETV-1/G_CETV-1.m3u8?p=GITV
CETV2_(576p),http://117.161.133.51:81/gitv_live/G_CETV-2/G_CETV-2.m3u8?p=GITV
CGTN_(1080p),https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
