Undefined,#genre#
BRTV北京卫视[高清],http://192.168.123.1:23234/rtp/228.1.1.115:8000
BRTV新闻[高清],http://192.168.123.1:23234/rtp/228.1.1.189:8000
BRTV影视[高清],http://192.168.123.1:23234/rtp/228.1.1.190:8000
BRTV文艺[高清],http://192.168.123.1:23234/rtp/228.1.1.116:8000
BRTV财经[高清],http://192.168.123.1:23234/rtp/228.1.1.197:8000
BRTV生活[高清],http://192.168.123.1:23234/rtp/228.1.1.198:8000
BRTV纪实科教[高清],http://192.168.123.1:23234/rtp/228.1.1.196:8000
BRTV卡酷少儿[高清],http://192.168.123.1:23234/rtp/228.1.1.195:8000
BRTV体育休闲[高清],http://192.168.123.1:23234/rtp/228.1.1.117:8000
BRTV国际频道[高清],http://192.168.123.1:23234/rtp/228.1.1.111:8000
CCTV-1_综合[高清],http://192.168.123.1:23234/rtp/228.1.1.28:8008
CCTV-2_财经[高清],http://192.168.123.1:23234/rtp/228.1.1.24:8084
CCTV-3_综艺[高清],http://192.168.123.1:23234/rtp/228.1.1.191:8002
CCTV-4_中文国际[高清],http://192.168.123.1:23234/rtp/228.1.1.25:8092
CCTV-4_中文国际_欧洲[高清],http://192.168.123.1:23234/rtp/228.1.1.213:4220
CCTV-4_中文国际_美洲[高清],http://192.168.123.1:23234/rtp/228.1.1.203:4220
CCTV-5_体育[高清],http://192.168.123.1:23234/rtp/228.1.1.192:8002
CCTV-5+_体育赛事[高清],http://192.168.123.1:23234/rtp/228.1.1.23:8004
CCTV-6_电影[高清],http://192.168.123.1:23234/rtp/228.1.1.193:8002
CCTV-7_国防军事[高清],http://192.168.123.1:23234/rtp/228.1.1.26:8104
CCTV-8_电视剧[高清],http://192.168.123.1:23234/rtp/228.1.1.194:8002
CCTV-9_纪录[高清],http://192.168.123.1:23234/rtp/228.1.1.27:8112
CCTV-10_科教[高清],http://192.168.123.1:23234/rtp/228.1.1.29:8116
CCTV-11_戏曲[高清],http://192.168.123.1:23234/rtp/228.1.1.182:8120
CCTV-12_社会与法[高清],http://192.168.123.1:23234/rtp/228.1.1.30:8124
